key,scientificName,acceptedScientificName,taxonRank,infraspecificEpithet,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,eventDate,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordedBy,stateProvince,county,locality,issues,datasetKey,publishingOrgKey,license
6511037330,"Lagothrix lagothricha (Humboldt, 1812)","Lagothrix lagothricha (Humboldt, 1812)",SPECIES,,-22.904444,-43.229167,,2017-07-07T00:00,2017.0,HUMAN_OBSERVATION,ICMBio,Dados de Pesquisa SISBio,20084,Alynne da Silva Barbosa,Rio de Janeiro,,,"['GEODETIC_DATUM_INVALID', 'GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'SCIENTIFIC_NAME_ID_NOT_FOUND', 'TAXON_ID_NOT_FOUND', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']",ffe38a37-d659-4b1a-a935-5a5264e3cc0a,25be1cbb-af76-44ea-8ff3-074799790dce,http://creativecommons.org/licenses/by/4.0/legalcode
6422138508,"Lagothrix lagothricha cana (É.Geoffroy Saint-Hilaire, 1812)","Lagothrix lagothricha cana (É.Geoffroy Saint-Hilaire, 1812)",SUBSPECIES,cana,-3.677165,-59.933396,31418.0,2017-12-01T10:59,2017.0,HUMAN_OBSERVATION,iNaturalist,Observations,374635957,marcoseugenio,Amazonas,,,"['COORDINATE_ROUNDED', 'CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_ID_NOT_FOUND']",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,http://creativecommons.org/licenses/by-nc/4.0/legalcode
5886786675,"Lagothrix lagothricha (Humboldt, 1812)","Lagothrix lagothricha (Humboldt, 1812)",SPECIES,,-20.421944,-40.709722,,2016-05,2016.0,PRESERVED_SPECIMEN,UFES,UFES-MAM,UFES-MAM_3155,Mattheus Torrezani,Espírito Santo,Marechal Floriano,"Zoo Park da Montanha, BR 262","['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'RECORDED_DATE_INVALID', 'INSTITUTION_MATCH_NONE']",c9c064e0-10bd-4100-b84e-c3c9cdd0bc44,503e9b26-09b5-4c40-b42a-bb476319a8ad,http://creativecommons.org/licenses/by-nc/4.0/legalcode
6510194472,"Lagothrix cana (É.Geoffroy Saint-Hilaire, 1812)","Lagothrix lagothricha cana (É.Geoffroy Saint-Hilaire, 1812)",SPECIES,,-8.972944,-58.629556,,2016-11-03T00:00,2016.0,HUMAN_OBSERVATION,ICMBio,Dados de Pesquisa SISBio,22354,Renata Bocorny De Azevedo,Mato Grosso,,,"['GEODETIC_DATUM_INVALID', 'GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'SCIENTIFIC_NAME_ID_NOT_FOUND', 'TAXON_ID_NOT_FOUND', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']",ffe38a37-d659-4b1a-a935-5a5264e3cc0a,25be1cbb-af76-44ea-8ff3-074799790dce,http://creativecommons.org/licenses/by/4.0/legalcode
6511134781,"Lagothrix cana (É.Geoffroy Saint-Hilaire, 1812)","Lagothrix lagothricha cana (É.Geoffroy Saint-Hilaire, 1812)",SPECIES,,-9.035211,-58.185053,,2016-11-02T00:00,2016.0,HUMAN_OBSERVATION,ICMBio,Dados de Pesquisa SISBio,22354,Renata Bocorny De Azevedo,Mato Grosso,,,"['GEODETIC_DATUM_INVALID', 'GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'SCIENTIFIC_NAME_ID_NOT_FOUND', 'TAXON_ID_NOT_FOUND', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']",ffe38a37-d659-4b1a-a935-5a5264e3cc0a,25be1cbb-af76-44ea-8ff3-074799790dce,http://creativecommons.org/licenses/by/4.0/legalcode
6511144135,"Lagothrix cana (É.Geoffroy Saint-Hilaire, 1812)","Lagothrix lagothricha cana (É.Geoffroy Saint-Hilaire, 1812)",SPECIES,,-8.981833,-58.601928,,2016-11-02T00:00,2016.0,HUMAN_OBSERVATION,ICMBio,Dados de Pesquisa SISBio,22354,Renata Bocorny De Azevedo,Mato Grosso,,,"['GEODETIC_DATUM_INVALID', 'GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'SCIENTIFIC_NAME_ID_NOT_FOUND', 'TAXON_ID_NOT_FOUND', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']",ffe38a37-d659-4b1a-a935-5a5264e3cc0a,25be1cbb-af76-44ea-8ff3-074799790dce,http://creativecommons.org/licenses/by/4.0/legalcode
6510250822,"Lagothrix cana (É.Geoffroy Saint-Hilaire, 1812)","Lagothrix lagothricha cana (É.Geoffroy Saint-Hilaire, 1812)",SPECIES,,-10.070278,-61.9695,,2015-11-30T00:00,2015.0,HUMAN_OBSERVATION,ICMBio,Dados de Pesquisa SISBio,19637,Renata Bocorny De Azevedo,Rondônia,,,"['CONTINENT_DERIVED_FROM_COORDINATES', 'SCIENTIFIC_NAME_ID_NOT_FOUND', 'TAXON_ID_NOT_FOUND', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']",ffe38a37-d659-4b1a-a935-5a5264e3cc0a,25be1cbb-af76-44ea-8ff3-074799790dce,http://creativecommons.org/licenses/by/4.0/legalcode
6510292940,"Lagothrix cana (É.Geoffroy Saint-Hilaire, 1812)","Lagothrix lagothricha cana (É.Geoffroy Saint-Hilaire, 1812)",SPECIES,,-9.557019,-61.604183,,2015-11-30T00:00,2015.0,HUMAN_OBSERVATION,ICMBio,Dados de Pesquisa SISBio,19637,Renata Bocorny De Azevedo,Rondônia,,,"['CONTINENT_DERIVED_FROM_COORDINATES', 'SCIENTIFIC_NAME_ID_NOT_FOUND', 'TAXON_ID_NOT_FOUND', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']",ffe38a37-d659-4b1a-a935-5a5264e3cc0a,25be1cbb-af76-44ea-8ff3-074799790dce,http://creativecommons.org/licenses/by/4.0/legalcode
6510433982,"Lagothrix cana (É.Geoffroy Saint-Hilaire, 1812)","Lagothrix lagothricha cana (É.Geoffroy Saint-Hilaire, 1812)",SPECIES,,-10.070072,-61.969436,,2015-11-30T00:00,2015.0,HUMAN_OBSERVATION,ICMBio,Dados de Pesquisa SISBio,19637,Renata Bocorny De Azevedo,Rondônia,,,"['CONTINENT_DERIVED_FROM_COORDINATES', 'SCIENTIFIC_NAME_ID_NOT_FOUND', 'TAXON_ID_NOT_FOUND', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']",ffe38a37-d659-4b1a-a935-5a5264e3cc0a,25be1cbb-af76-44ea-8ff3-074799790dce,http://creativecommons.org/licenses/by/4.0/legalcode
6511175465,"Lagothrix cana (É.Geoffroy Saint-Hilaire, 1812)","Lagothrix lagothricha cana (É.Geoffroy Saint-Hilaire, 1812)",SPECIES,,-10.062917,-61.960194,,2015-11-30T00:00,2015.0,HUMAN_OBSERVATION,ICMBio,Dados de Pesquisa SISBio,19637,Renata Bocorny De Azevedo,Rondônia,,,"['CONTINENT_DERIVED_FROM_COORDINATES', 'SCIENTIFIC_NAME_ID_NOT_FOUND', 'TAXON_ID_NOT_FOUND', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']",ffe38a37-d659-4b1a-a935-5a5264e3cc0a,25be1cbb-af76-44ea-8ff3-074799790dce,http://creativecommons.org/licenses/by/4.0/legalcode
